codepoints,emoji-name,keywords
🧗🏽,climber | person climbing | medium skin tone,person climbing: medium skin tone
🧗🏾,climber | person climbing | medium-dark skin tone,person climbing: medium-dark skin tone
🧗🏿,climber | person climbing | dark skin tone,person climbing: dark skin tone
🧗🏻‍♀,climber | woman climbing | light skin tone,woman climbing: light skin tone
🧗🏼‍♀,climber | woman climbing | medium-light skin tone,woman climbing: medium-light skin tone
🧗🏽‍♀,climber | woman climbing | medium skin tone,woman climbing: medium skin tone
🧗🏾‍♀,climber | woman climbing | medium-dark skin tone,woman climbing: medium-dark skin tone
🧗🏿‍♀,climber | woman climbing | dark skin tone,woman climbing: dark skin tone
🧗🏻‍♂,climber | man climbing | light skin tone,man climbing: light skin tone
🧗🏼‍♂,climber | man climbing | medium-light skin tone,man climbing: medium-light skin tone
🧗🏽‍♂,climber | man climbing | medium skin tone,man climbing: medium skin tone
🧗🏾‍♂,climber | man climbing | medium-dark skin tone,man climbing: medium-dark skin tone
🧗🏿‍♂,climber | man climbing | dark skin tone,man climbing: dark skin tone
🧘🏻,meditation | person in lotus position | yoga | light skin tone,person in lotus position: light skin tone
🧘🏼,meditation | person in lotus position | yoga | medium-light skin tone,person in lotus position: medium-light skin tone
🧘🏽,meditation | person in lotus position | yoga | medium skin tone,person in lotus position: medium skin tone
🧘🏾,meditation | person in lotus position | yoga | medium-dark skin tone,person in lotus position: medium-dark skin tone
🧘🏿,meditation | person in lotus position | yoga | dark skin tone,person in lotus position: dark skin tone
🧘🏻‍♀,meditation | woman in lotus position | yoga | light skin tone,woman in lotus position: light skin tone
🧘🏼‍♀,meditation | woman in lotus position | yoga | medium-light skin tone,woman in lotus position: medium-light skin tone
🧘🏽‍♀,meditation | woman in lotus position | yoga | medium skin tone,woman in lotus position: medium skin tone
🧘🏾‍♀,meditation | woman in lotus position | yoga | medium-dark skin tone,woman in lotus position: medium-dark skin tone
🧘🏿‍♀,meditation | woman in lotus position | yoga | dark skin tone,woman in lotus position: dark skin tone
🧘🏻‍♂,man in lotus position | meditation | yoga | light skin tone,man in lotus position: light skin tone
🧘🏼‍♂,man in lotus position | meditation | yoga | medium-light skin tone,man in lotus position: medium-light skin tone
🧘🏽‍♂,man in lotus position | meditation | yoga | medium skin tone,man in lotus position: medium skin tone
🧘🏾‍♂,man in lotus position | meditation | yoga | medium-dark skin tone,man in lotus position: medium-dark skin tone
🧘🏿‍♂,man in lotus position | meditation | yoga | dark skin tone,man in lotus position: dark skin tone
