codepoints,variation,comments
1F5E3 FE0F,emoji style,
1F5E8 FE0E,text style,
1F5E8 FE0F,emoji style,
1F5EF FE0E,text style,
1F5EF FE0F,emoji style,
1F5F3 FE0E,text style,
1F5F3 FE0F,emoji style,
1F5FA FE0E,text style,
1F5FA FE0F,emoji style,
1F610 FE0E,text style,
1F610 FE0F,emoji style,
1F687 FE0E,text style,
1F687 FE0F,emoji style,
1F68D FE0E,text style,
1F68D FE0F,emoji style,
1F691 FE0E,text style,
1F691 FE0F,emoji style,
1F694 FE0E,text style,
1F694 FE0F,emoji style,
1F698 FE0E,text style,
1F698 FE0F,emoji style,
1F6AD FE0E,text style,
1F6AD FE0F,emoji style,
1F6B2 FE0E,text style,
1F6B2 FE0F,emoji style,
1F6B9 FE0E,text style,
1F6B9 FE0F,emoji style,
1F6BA FE0E,text style,
1F6BA FE0F,emoji style,
1F6BC FE0E,text style,
1F6BC FE0F,emoji style,
1F6CB FE0E,text style,
1F6CB FE0F,emoji style,
1F6CD FE0E,text style,
1F6CD FE0F,emoji style,
1F6CE FE0E,text style,
1F6CE FE0F,emoji style,
1F6CF FE0E,text style,
1F6CF FE0F,emoji style,
1F6E0 FE0E,text style,
1F6E0 FE0F,emoji style,
1F6E1 FE0E,text style,
1F6E1 FE0F,emoji style,
1F6E2 FE0E,text style,
1F6E2 FE0F,emoji style,
1F6E3 FE0E,text style,
1F6E3 FE0F,emoji style,
1F6E4 FE0E,text style,
1F6E4 FE0F,emoji style,
1F6E5 FE0E,text style,
1F6E5 FE0F,emoji style,
1F6E9 FE0E,text style,
1F6E9 FE0F,emoji style,
1F6F0 FE0E,text style,
1F6F0 FE0F,emoji style,
1F6F3 FE0E,text style,
1F6F3 FE0F,emoji style,
